featureid	Control10_20190721	Control12_20190731	Control9_20190715	ExtNeg_20190910	ExtNeg_20190918	ExtNeg_20191028	ExtNeg_20191031	GU190706-CTD11-220	GU190707-CTD13-310	GU190707-CTD14-315	GU190708-CTD16-252	GU190708-CTD17-171	GU190709-CTD20-280	GU190710-CTD22-245	GU190710-CTD23-190	GU190714-CTD25-185	GU190714-CTD26-260	GU190715-CTD28-310	GU190721-CTD31-205	GU190722-CTD33-205	GU190724-CTD36-310	GU190727-CTD40-210	GU190727-CTD41B-145	GU190728-CTD43-245	GU190728-CTD44B-125	GU190729-CTD46-240	GU190729-CTD47-140	GU190731-CTD50-150	PCRNeg
871ef34571fc4749bfee1b7a93330c0f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2507	0	0	0	0	0	0	0	0	0	0	0	0	0
87fc62ed809caa00b26b8cbf9255c7ac	0	0	0	0	0	0	0	8277	5	0	0	0	0	1820	0	6	0	0	0	0	0	0	0	5	0	0	0	0	0
89da54cee5c4fe6ce6d58eb151efae01	0	0	0	0	0	0	0	0	0	0	0	0	6444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8a589d893ed345b1fdd29cb8c1522ca9	0	0	0	0	0	0	0	0	0	0	0	0	0	973	0	2848	0	0	0	0	0	0	0	0	0	0	0	0	0
8be2e182df7b8fc5a1c996a1ebfa1023	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8cf6616edcbe59b0e577a92e73e00ac0	0	0	0	0	0	0	0	0	0	0	0	0	3555	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
8e976eeb3f562a8821450401b0e61db8	0	0	0	0	0	0	0	0	0	0	0	7628	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0
8f9c2606f5bb5a4867a22ec20c3f7067	0	0	0	0	0	0	0	3	14814	0	1219	0	0	0	0	0	5	0	0	0	0	0	0	0	6	0	0	0	0
8f9d42a2d629bbe923009b395c0531fc	0	0	0	0	0	0	0	0	0	0	0	0	0	274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90a8f68ed02263f092c8e88e7ddcc679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	1720	2836	0	0	0	0	0	0	0	0	0	0	0
